CustomerID,Gender,Age,Location,HasPartner,HasDependents
9e9da9d2-1d0a-49f5-ba1d-915e2ec6f901,Female,39.0,Suburban,No,No
0c7fc7cd-9c76-457f-aa60-8a72f33e7b97,Male,70.0,Urban,No,No
bce86d60-cdda-414f-96bf-462b3eac3eb1,Male,57.0,Rural,Yes,nan
82e263d7-d7b9-451c-b2a2-e6b2f7e600ee,Male,51.0,Urban,No,No
22f92b0a-4d6b-4339-87c6-e1c6deba5a6f,Female,67.0,Rural,No,No
f08ee37d-1eaa-4dda-b624-fc7bd7ce0534,Male,36.0,Urban,No,Yes
51e66c2f-1aa3-4466-9f8c-6ff602cd32d7,Male,53.0,Urban,No,No
a3946347-5221-4150-b7db-7a53a82d9d22,Male,33.0,Rural,Yes,Yes
a4a0bac6-3e9a-4508-bafc-03b404c2acf0,Male,26.0,Rural,nan,No
a0c252d3-162e-4b15-9f78-a9b645750dda,Male,45.0,Urban,Yes,No
c924ca7a-869a-4c06-8b1c-424903ae0cec,Female,56.0,Urban,Yes,Yes
1a867ef8-e0cd-413e-9076-ae601f0e9571,Female,39.0,Rural,Yes,Yes
6333b54c-859f-47cb-ae6b-982eec90870b,Female,33.0,Urban,No,No
406c957e-3717-4675-bbdf-e79c5c86798c,Female,45.0,Rural,No,Yes
a1564fc7-31a0-40dd-9ecc-ccb67eeb17d9,Female,,Urban,No,No
2702d2a3-4faa-47a7-a6ba-5cbf609f4a08,Female,53.0,Urban,Yes,No
34617c78-9688-460d-9302-531130d43f56,Male,54.0,Urban,No,Yes
e4e18a74-200c-4134-95fb-5a8862e003e9,Female,69.0,Urban,No,No
d15e0a3f-1190-4f04-a841-46e4bda0a24d,Prefer not to say,78.0,Urban,nan,Yes
78c42078-b3ba-4cb1-9188-bce10207b6ba,Male,82.0,Rural,nan,No
5443a540-beb5-4c36-88c8-9235510ce7d1,Male,38.0,Urban,Yes,No
b8e75322-3c0e-4d6c-a845-af22f3ac5f66,Female,22.0,Urban,No,No
fc99cdef-5269-4c09-9181-81b06360dc1c,Male,60.0,Urban,No,No
adf49456-b234-48be-a398-cfaafdf83d38,Male,84.0,Suburban,No,Yes
a0bdbdfb-a33d-4ff9-9d6c-71ec394895be  ,Male,44.0,Suburban,No,No
647f0d7b-31e8-414b-a2c8-6a888b69149c,,27.0,Urban,No,No
da363aba-e117-4f95-9e60-acb3cad720cd,female,37.0,Suburban,No,No
6f4134e7-9ba0-4d82-83e9-9417bc7b35bf,Male,28.0,Suburban,Yes,No
62407455-b04e-4f65-9311-cbb210047db4,Male,33.0,Urban,No,No
4e56ff3d-b008-4881-84b1-ec3d05500e0e,Male,22.0,Rural,Yes,Yes
e51db351-7e1f-4fa3-b12a-34de9a262a3d,Female,41.0,Urban,Yes,Yes
1f22cb3f-3d8f-4698-a897-71ef322f00ad,Female,64.0,,No,No
b3028f09-55f0-43d1-9693-0965fd97f933,Male,73.0,Rural,nan,No
a5a3b88d-deb4-43d7-8bf8-59501d68c22b,Male,32.0,Suburban,No,No
1c117e14-630c-429c-aa1e-1a0ec2a7b997,Female,50.0,Countryside,No,No
27c1d8ee-a0bb-43e0-a6f8-f6a98dc5f453,Female,36.0,Rural,No,Yes
13f5ef6e-9caa-41f4-9f39-490e4cfc8362,Female,33.0,Rural,Yes,No
046e6eb0-7ff0-46de-b386-1ffcae63da26,,39.0,Urban,TRUE,Yes
973ebbc1-d418-43e1-8af5-3a4fb98244c0,Male,81.0,Suburban,Yes,No
a6345b14-a26f-4230-ae85-1bea28f5f618,Female,,Rural,Yes,Yes
23265a64-0a5f-4f0b-b697-6d97cab4dda6,Non-Binary,-5.0,Suburban,No,Yes
224bfc4b-fa9c-4fd1-a5cc-f8c303d48e33,Female,55.0,Rural,No,No
edac0175-3951-494e-b90f-9e9fd098bad1,Female,,Urban,no,No
cb5785fc-3bd1-4d11-b30f-c7dbbe80e723,Male,39.0,Urban,No,Yes
86519ea1-e905-4c5f-a77e-e2d0d8e91665,Female,32.0,Urban,No,No
45a4b586-9460-4d04-80f9-0c5ef68435ef,Female,55.0,Suburban,No,No
0c8f7baa-e9db-4502-85ce-becf0138f43a,Female,34.0,Urban,No,Yes
70c219b8-180a-4045-99f8-b81322002329,Male,65.0,Urban,No,Yes
84a76f9a-d7e0-4b7b-81dd-baedeb69dfc2,Female,67.0,Urban,Yes,No
87094c29-fec1-459f-9064-a12171a01eed,Male,29.0,Rural,Yes,No
7c5154e1-f9d4-4176-891c-f4dc204ea997,Female,81.0,,No,No
b6c93c12-a36e-4e79-b3ea-9ee4ff7e7741,Male,69.0,Suburban,No,No
b10753a0-0507-4ec0-af93-e1ae6b4d7981,Male,63.0,Suburban,no,No
f34bb9ec-8724-43bd-a27d-79064e104eb9,Female,51.0,Urban,No,Yes
7afe77ae-baf7-41ba-98f9-aa707ea4fbae,Male,33.0,Suburban,Yes,No
55ad93ed-295b-4ba6-b7eb-9898f89f3aa7,Female,25.0,Suburban,No,No
2988129a-3cb0-45f5-a7d2-10db0574b100,Female,24.0,Suburban,No,nan
649eb3e6-e796-467c-8609-7659b4f8467e,Male,54.0,Urban,Yes,No
4b9ab2f3-5805-46f4-8933-3cf907d4bd49,Prefer not to say,67.0,Urban,No,nan
68cdbaeb-c1f8-4e0c-8d0e-f01bab0821bf,Male,73.0,rural,Yes,Yes
9c6e8fea-6dc0-4ee5-917a-dcd8e1d83b55,Male,56.0,Urban,No,No
78834ca0-ebfc-4e51-becf-c80f17c7886e,Male,61.0,Suburban,Yes,No
cc5da622-2225-4ed0-aa58-9acb90d30a99,Male,54.0,Urban,No,No
59bcdc90-3e05-4da1-beb9-e52cf5b69ac5,Male,61.0,Rural,No,No
21b6e1c2-a77b-4495-b56a-d7ce42180c75,Male,,Suburban,Yes,Yes
c2c03830-b038-4438-b45b-b8baa2bb47a1,Male,56.0,Suburban,No,No
